The Economist,2008,Nonfiction,"Empires of the Sea: The Siege of Malta, the Battle of Lepanto, and the Contest for the Centre of the World",Roger Crowley,,
The Economist,2008,Nonfiction,Freedom for the Thought that We Hate: A Biography of the First Amendment,Anthony Lewis,,
The Economist,2007,Nonfiction,"God and Gold: Britain, America and the Making of the Modern World",Walter Russell Mead,,
The Economist,2003,Nonfiction,God's Secretaries: The Making of the King James Bible,Adam Nicolson,,
The Economist,2005,Nonfiction,Imperial Reckoning: The Untold Story of the End of Empire in Kenya,Caroline Elkins,,
The Economist,2004,Nonfiction,In Tasmania, Nicholas Shakespeare,,
The Economist,2011,Nonfiction,Jerusalem: the Biography,Simon Sebag Montefiore,,
The Economist,2006,Nonfiction,Khrushchev's Cold War: The Inside Story of an American Adversary ,Aleksandr Fursenko,Timothy Naftali,
The Economist,2007,Nonfiction,Legacy of Ashes: The History of the CIA,Tim Weiner,,
The Economist,2010,Nonfiction,"Mao's Great Famine: The History of China's Most Devastating Catastrophe, 1958-1962",Frank Dikotter,,
The Economist,2008,Nonfiction,"Masters and Commanders: How Roosevelt, Churchill, Marshall and Alanbrooke Won the War in the West",Andrew Roberts,,
The Economist,2004,Nonfiction,Maximum City: Bombay Lost and Found,Suketu Mehta,,
The Economist,2002,Nonfiction,Microcosm: Portrait of a Central European City, Norman Davies,Roger Moorehouse,
The Economist,2008,Nonfiction,"Modern China: The Fall and Rise of a Great Power, 1850 to the Present",Jonathan Fenby,,
The Economist,2007,Nonfiction,"Napoleon's Wars: An International History, 1803-1815",Charles Esdaile,,
The Economist,2008,Nonfiction,Out of Mao's Shadow: The Struggle for the Soul of a New China,Philip P. Pan,,
The Economist,2010,Nonfiction,Pearl Buck in China: Journey to the Good Earth,Hilary Spurling,,
The Economist,2010,Nonfiction,Red Plenty: Industry! Progress! Abundance! Inside the Fifties' Soviet Dream,Francis Spufford,,
The Economist,2003,Nonfiction,Reformation: Europe's House Divided 1490-1700,Diarmaid MacCulloch,,
The Economist,2005,Nonfiction,"Rough Crossings: Britain, the Slaves and the American Revolution",Simon Schama,,
The Economist,2009,Nonfiction,"Russia Against Napoleon: The Battle for Europe, 1807 to 1814",Dominic Lieven,,
The Economist,2007,Nonfiction,"Scotland: The Autobiography—2,000 Years of Scottish History by Those Who Saw it Happen",Rosemary Goring,,
The Economist,2003,Nonfiction,Seven Myths of the Spanish Conquest,Matthew Restall,,
The Economist,2005,Nonfiction,Sons of the Conquerors: The Rise of the Turkic World,Hugh Pope,,
The Economist,2003,Nonfiction,The Afrikaners: Biography of a People,Hermann Giliomee,,
The Economist,2008,Nonfiction,The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,,
The Economist,2011,Nonfiction,The Anatomy of a Moment: Thirty-five Minutes in History and Imagination,Javier Cercas,,
The Economist,2009,Nonfiction,The Arabs: A History,Eugene Rogan,,
The Economist,2006,Nonfiction,The Battle for Spain: The Spanish Civil War 1936-1939 ,Antony Beevor,,
The Economist,2003,Nonfiction,"The Billy Ruffian: The Bellerophon and the Downfall of Napoleon—The Biography of a Ship of the Line, 1782-1836",David Cordingly,,
The Economist,2008,Nonfiction,The Blackest Streets: The Life and Death of a Victorian Slum,Sarah Wise,,
The Economist,2009,Nonfiction,The British Industrial Revolution in Global Perspective,Robert C. Allen,,
The Economist,2007,Nonfiction,"The Cigarette Century: The Rise, Fall, and Deadly Persistence of the Product that Defined America",Allan M. Brandt,,
The Economist,2004,Nonfiction,"The Command of the Ocean: A Naval History of Britain, 1649-1815. ",N.A.M. Rodger,,
The Economist,2012,Nonfiction,The Eagle Unbowed: Poland and the Poles in the Second World War,Halik Kochanski,,
The Economist,2003,Nonfiction,"The Fall of Hong Kong: Britain, China and the Japanese Occupation",Philip Snow,,
The Economist,2006,Nonfiction,The Grand Slave Emporium: Cape Coast Castle and the British Slave Trade,William St Clair,,
The Economist,2011,Nonfiction,The Great Sea: A Human History of the Mediterranean,David Abulafia,,
The Economist,2004,Nonfiction,The Italian Boy: Murder and Grave-Robbery in 1830s London,Sarah Wise,,
The Economist,2004,Nonfiction,The Last Valley: Dien Bien Phu and the French Defeat in Vietnam,Martin Windrow,,
The Economist,2007,Nonfiction,"The Making of Victorian Values: Decency and Dissent in Britain, 1789-1837",Ben Wilson,,
The Economist,2007,Nonfiction,The Noble Revolt: The Overthrow of Charles I,John Adamson,,
The Economist,2011,Nonfiction,"The Pursuit of Italy: A History of a Land, its Regions and their Peoples",David Gilmour,,
The Economist,2008,Nonfiction,The Return of History and the End of Dreams,Robert Kagan,,
